ril_gen,ril,gen,ht_ctrl,ht_t,spad_ctrl,spad_t,rwc_ctrl,rwc_t,agb_ctrl,agb_t,bgb_ctrl,bgb_t,lt_ctrl,lt_t
E46-W_F5,E46-W,F5,13,8.4,23.1,24.2,91.4893617,24.63768116,0.7201,NA,0.2499,NA,29.8,33.9
E46-W_F5,E46-W,F5,12.5,7.7,29.5,16.9,97.05882353,47.00854701,0.6281,0.1717,0.2343,0.1204,NA,NA
E46-W_F5,E46-W,F5,11.6,9.1,33.1,25.9,100,27.27272727,0.7838,NA,0.2177,NA,NA,NA
E47_F5,E47,F5,12.4,9.8,25.6,25.5,92.85714286,35.0877193,0.5521,0.1336,0.3751,0.0777,NA,NA
E47_F5,E47,F5,13.8,10.2,23.7,26.1,87.5,17.64705882,0.4949,NA,0.1576,NA,NA,NA
E47_F5,E47,F5,14.1,NA,23.6,NA,97.6744186,NA,0.3671,0.1839,0.2294,0.0598,NA,NA
E47_F5,E47,F5,15,10.4,33.8,20.6,102.0408163,19.92481203,0.5205,0.2304,0.2166,0.0786,NA,NA
E48_F5,E48,F5,13.1,9.9,27.2,25,101.9607843,-18.46153846,0.4244,0.2419,0.2139,0.1042,29.2,33.9
E48_F5,E48,F5,12.1,10.1,29.9,12.2,93.18181818,36.45833333,0.5432,0.1885,0.2417,0.0792,32.7,32.4
E48_F5,E48,F5,12.5,10.6,26.1,26.5,102.8985507,12.82051282,0.5519,0.2349,0.2155,0.1334,NA,NA
E48_F5,E48,F5,11.6,9.6,26.4,16.3,97.05882353,100,0.5045,0.2156,0.3233,0.0794,NA,NA
E49_F5,E49,F5,11.2,8.9,26.7,18.3,98.73417722,-15.95744681,0.5165,0.2079,0.2541,0.0924,NA,NA
E49_F5,E49,F5,12.7,5.6,24.6,18.2,93.33333333,22.07792208,0.3933,0.1309,0.1283,0.1002,NA,NA
E49_F5,E49,F5,11.5,8.4,26.4,NA,92.75362319,NA,0.4637,0.1702,0.226,0.0934,NA,NA
E49_F5,E49,F5,10.6,7.1,29.1,NA,100,NA,0.5858,0.1849,0.3167,0.1493,NA,NA
E49-W_F5,E49-W,F5,12,8.5,25.9,21.1,72.72727273,14.92537313,0.8085,0.2485,0.3892,0.1154,32.9,33.7
E49-W_F5,E49-W,F5,11.6,7.5,24.8,17.5,106.5217391,109.2307692,0.5788,0.1762,0.1696,0.1139,32.7,32.2
E49-W_F5,E49-W,F5,11.2,8.8,30.5,NA,100,NA,0.5847,0.2826,0.2635,0.1662,NA,NA
E49-W_F5,E49-W,F5,12,8,33.3,20.4,87.5,20.23809524,0.6309,0.1814,0.2621,0.0838,NA,NA
E5_F5,E5,F5,14.4,8.2,26.3,18.3,95.45454545,12.12121212,1.2235,0.2624,0.4171,0.1569,30,33
E5_F5,E5,F5,11.7,8,27.6,17,83.60655738,95.23809524,0.5486,0.2356,0.2255,0.1389,32.1,33
E5_F5,E5,F5,12.2,9,25.6,17.4,88.13559322,72.22222222,0.9391,0.3072,0.4907,0.2067,NA,NA
E5_F5,E5,F5,14.3,8.8,29.1,NA,93.93939394,NA,0.5196,0.0484,0.2115,0.0721,NA,NA
E50_F5,E50,F5,13.9,13.5,30.2,20.5,97.82608696,18.30985915,0.5764,0.2923,0.1504,0.1226,27.7,35.5
E50_F5,E50,F5,11.9,9.6,28.3,NA,105.8823529,NA,0.5524,0.1396,0.1971,0.0889,27.7,34.8
E50_F5,E50,F5,11.5,8.1,30.5,NA,96.2962963,NA,0.7076,0.2777,0.3244,0.1151,NA,NA
E50_F5,E50,F5,14.5,7.5,34.9,15.1,98.88888889,63.15789474,0.6901,0.2858,0.2601,0.0798,NA,NA
E6_F5,E6,F5,14,9,22.8,9.9,96.63865546,-9.523809524,0.6977,0.2373,0.2289,0.109,NA,NA
E6_F5,E6,F5,20.4,9.5,27.6,NA,102.5641026,NA,0.556,0.1557,0.3347,0.1156,NA,NA
E6_F5,E6,F5,16.3,9.7,24.1,NA,84.72222222,NA,0.6215,0.1754,0.2265,0.0862,NA,NA
E6_F5,E6,F5,13.7,9.6,33,NA,87.87878788,NA,0.9551,0.1652,0.3983,0.0886,NA,NA
E7_F5,E7,F5,18.4,8.1,26.8,16.5,81.81818182,55.12820513,0.5681,0.0816,0.2853,0.0457,31.2,35.4
E7_F5,E7,F5,13,8.1,23.2,19.4,93.22033898,94.11764706,0.6409,0.2244,0.2543,0.1181,30.5,38.2
E7_F5,E7,F5,13.6,8.9,28.9,18,89.70588235,96.34146341,0.6739,0.2158,0.3626,0.1341,NA,NA
E7_F5,E7,F5,13.5,10,27.4,15.6,88.63636364,80.95238095,0.4844,0.1733,0.2062,0.1049,NA,NA
E8_F5,E8,F5,14.1,7.5,22.1,13.7,100,86.36363636,0.4314,0.0474,0.1435,0.0339,NA,NA
E8_F5,E8,F5,12.5,5.4,25.2,26.2,90.90909091,57.14285714,0.5859,0.2119,0.2716,0.1219,NA,NA
E8_F5,E8,F5,14.1,5.4,28,19.5,94.59459459,80,0.7458,NA,0.2774,NA,NA,NA
E8_F5,E8,F5,13.7,8.2,25.1,25.3,90.90909091,89.13043478,0.3933,0.1442,0.2695,0.0596,NA,NA
E8W_F5,E8W,F5,14.7,6.7,26.7,26.2,92.85714286,69.87951807,0.6013,0.1951,0.2492,0.1293,30.5,33.5
